"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\providers\register_user_provider.dart", "Dart", 29, 0, 5, 34
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\providers\suscription_provider.dart", "Dart", 42, 0, 6, 48
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\providers\top_crypto_provider.dart", "Dart", 18, 0, 3, 21
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\providers\user_balance_provider.dart", "Dart", 22, 0, 4, 26
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\providers\user_crypto_balance_provider.dart", "Dart", 17, 0, 4, 21
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\providers\wallet_provider.dart", "Dart", 16, 0, 4, 20
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\balance_repository.dart", "Dart", 24, 0, 5, 29
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\crypto_repository.dart", "Dart", 15, 2, 5, 22
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\message_repository.dart", "Dart", 9, 0, 3, 12
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\notification_repository.dart", "Dart", 9, 0, 4, 13
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\order_repository.dart", "Dart", 26, 0, 6, 32
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\ranking_repository.dart", "Dart", 9, 0, 2, 11
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\ressources\repositories\user_repository.dart", "Dart", 13, 0, 5, 18
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\coin_view\chatdialog.dart", "Dart", 54, 0, 5, 59
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\coin_view\coin_chat.dart", "Dart", 104, 16, 8, 128
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\coin_view\coin_view_widget.dart", "Dart", 434, 8, 31, 473
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\coin_view\message_sender.dart", "Dart", 41, 0, 4, 45
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\coin_view\order_maker_widget.dart", "Dart", 210, 2, 14, 226
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\crypto_list_widget.dart", "Dart", 172, 48, 14, 234
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\login_widget.dart", "Dart", 147, 5, 11, 163
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\navigation_bar.dart", "Dart", 27, 0, 3, 30
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\navigation_bar_widget.dart", "Dart", 60, 0, 5, 65
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\notifications_widget.dart", "Dart", 151, 0, 8, 159
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\ranking_widget.dart", "Dart", 84, 0, 6, 90
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\signup_widget.dart", "Dart", 172, 1, 7, 180
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\utils\color_utils.dart", "Dart", 8, 0, 3, 11
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\utils\dialog_utils.dart", "Dart", 16, 0, 2, 18
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\utils\snackbar.dart", "Dart", 11, 0, 2, 13
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\utils\widget_callback.dart", "Dart", 8, 0, 2, 10
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\wallet\order_history_widget.dart", "Dart", 88, 0, 7, 95
"c:\Users\maxim\OneDrive\Documents\Cours2122\ArchiLog\CryptoWallet\crypto_wallet_mobile\lib\widgets\wallet\wallet_widget.dart", "Dart", 131, 0, 12, 143
"Total", "-", 3242, 130, 433, 3805
